|rok  |kod|nazev                                                       |datovy_typ                        |prumerna_hodnota|jednotka|
|-----|---|------------------------------------------------------------|----------------------------------|----------------|--------|
|2,006|   |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|13,414          |Kč      |
|2,006|   |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|17,550.75       |Kč      |
|2,006|   |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|18,993.75       |Kč      |
|2,006|   |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|34,942          |Kč      |
|2,006|   |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|15,477.5        |Kč      |
|2,006|   |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|14,955          |Kč      |
|2,006|   |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|39,353.25       |Kč      |
|2,006|   |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|23,105.75       |Kč      |
|2,006|   |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|17,643.75       |Kč      |
|2,006|   |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|24,017.5        |Kč      |
|2,006|   |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|11,105.75       |Kč      |
|2,006|   |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|17,507.25       |Kč      |
|2,006|   |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|22,852.75       |Kč      |
|2,006|   |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|28,477          |Kč      |
|2,006|   |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|18,197.25       |Kč      |
|2,006|   |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|18,240.75       |Kč      |
|2,006|   |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|17,973.5        |Kč      |
|2,006|   |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|14,421          |Kč      |
|2,006|   |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|18,276.75       |Kč      |
|2,007|   |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|14,117          |Kč      |
|2,007|   |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|18,994.5        |Kč      |
|2,007|   |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|20,394          |Kč      |
|2,007|   |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|37,204          |Kč      |
|2,007|   |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|16,473          |Kč      |
|2,007|   |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|15,929.25       |Kč      |
|2,007|   |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|40,725.25       |Kč      |
|2,007|   |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|25,317          |Kč      |
|2,007|   |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|18,831.25       |Kč      |
|2,007|   |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|25,675.75       |Kč      |
|2,007|   |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|11,738.5        |Kč      |
|2,007|   |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|19,037.5        |Kč      |
|2,007|   |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|24,590.25       |Kč      |
|2,007|   |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|30,679.25       |Kč      |
|2,007|   |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|19,321          |Kč      |
|2,007|   |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|19,292          |Kč      |
|2,007|   |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|19,053.5        |Kč      |
|2,007|   |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|15,761.25       |Kč      |
|2,007|   |Zpracovatelský průmysl                                      |Průměrná hrubá mzda na zaměstnance|19,633.25       |Kč      |
|2,008|   |Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|14,451.25       |Kč      |
|2,008|   |Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|19,656.25       |Kč      |
|2,008|   |Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|22,008          |Kč      |
|2,008|   |Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|40,861.5        |Kč      |
|2,008|   |Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|17,384.25       |Kč      |
|2,008|   |Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|16,491.25       |Kč      |
|2,008|   |Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|43,974.75       |Kč      |
|2,008|   |Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|28,658.5        |Kč      |
|2,008|   |Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|20,692.5        |Kč      |
|2,008|   |Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|29,236          |Kč      |
|2,008|   |Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|11,937.5        |Kč      |
|2,008|   |Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|20,597.25       |Kč      |
|2,008|   |Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|25,759          |Kč      |
|2,008|   |Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu |Průměrná hrubá mzda na zaměstnance|34,779.75       |Kč      |
|2,008|   |Vzdělávání                                                  |Průměrná hrubá mzda na zaměstnance|20,097.5        |Kč      |
|2,008|   |Zásobování vodou; činnosti související s odpady a sanacemi  |Průměrná hrubá mzda na zaměstnance|20,985.25       |Kč      |
|2,008|   |Zdravotní a sociální péče                                   |Průměrná hrubá mzda na zaměstnance|20,036.75       |Kč      |
|2,008|   |Zemědělství, lesnictví, rybářství                           |Průměrná hrubá mzda na zaměstnance|17,292.5        |Kč      |
