|rok  |odvetvi                                                     |typ_platu                         |prumerny_plat |mezirocni_trend|prumerny_plat_predchozi_rok|prumerna_mezirocni_zmena_platu_abs|prumerna_mezirocni_zmena_platu_procentne|
|-----|------------------------------------------------------------|----------------------------------|--------------|---------------|---------------------------|----------------------------------|----------------------------------------|
|2,006|Administrativní a podpůrné činnosti                         |Průměrná hrubá mzda na zaměstnance|13,414.00,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Činnosti v oblasti nemovitostí                              |Průměrná hrubá mzda na zaměstnance|17,550.75,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Doprava a skladování                                        |Průměrná hrubá mzda na zaměstnance|18,993.75,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Informační a komunikační činnosti                           |Průměrná hrubá mzda na zaměstnance|34,942.00,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Kulturní, zábavní a rekreační činnosti                      |Průměrná hrubá mzda na zaměstnance|15,477.50,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Ostatní činnosti                                            |Průměrná hrubá mzda na zaměstnance|14,955.00,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Peněžnictví a pojišťovnictví                                |Průměrná hrubá mzda na zaměstnance|39,353.25,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Profesní, vědecké a technické činnosti                      |Průměrná hrubá mzda na zaměstnance|23,105.75,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Stavebnictví                                                |Průměrná hrubá mzda na zaměstnance|17,643.75,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Těžba a dobývání                                            |Průměrná hrubá mzda na zaměstnance|24,017.50,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Ubytování, stravování a pohostinství                        |Průměrná hrubá mzda na zaměstnance|11,105.75,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Velkoobchod a maloobchod; opravy a údržba motorových vozidel|Průměrná hrubá mzda na zaměstnance|17,507.25,- Kč|Chybí data     |                           |                                  |                                        |
|2,006|Veřejná správa a obrana; povinné sociální zabezpečení       |Průměrná hrubá mzda na zaměstnance|22,852.75,- Kč|Chybí data     |                           |                                  |                                        |
